STORM ID,Year,Date,LATITUDE_TRANSFORMED,LONGITUDE_TRANSFORMED,STORM LEVEL
AL071878,1878,10/8/78,47.5,35.5,3
AL071894,1894,10/29/94,47,42.6,3
AL041853,1853,9/10/53,46.3,32.3,3
AL101978,1978,9/5/78,45,55,3
AL121973,1973,9/22/73,44.7,41.5,3
AL061859,1859,10/6/59,44.5,61,4
AL071887,1887,8/27/87,44.3,56,3
AL161969,1969,9/10/69,44,67.5,3
AL041870,1870,9/12/70,43.5,55.4,3
AL061982,1982,9/18/82,43.5,56.1,3
AL081954,1954,9/11/54,41.7,70.3,3
AL061869,1869,9/8/69,41.4,71.7,3
AL061938,1938,9/21/38,41.3,72.9,3
AL061954,1954,8/31/54,41.3,72,3
AL081975,1975,9/3/75,41.1,43,3
AL091974,1974,8/31/74,41,54.5,3
AL021873,1873,8/24/73,40.9,64.6,3
AL051961,1961,9/21/61,40.9,70.7,3
AL081963,1963,10/29/63,40.8,67.2,3
AL151975,1975,10/3/75,40.8,62.6,4
AL012004,2004,8/5/04,40.8,59.6,3
AL041952,1952,9/7/52,40.4,60.1,3
AL101936,1936,9/4/36,40.2,46,3
AL071961,1961,10/8/61,40.1,65.2,3
AL031894,1894,9/8/94,40,49.6,3
AL041906,1906,9/11/06,40,52.8,3
AL081958,1958,9/29/58,40,65,3
AL051939,1939,10/17/39,39.9,58,3
AL061887,1887,8/21/87,39.8,68.4,3
AL021935,1935,8/24/35,39.7,57.6,3
AL081969,1969,8/23/69,39.2,54.8,3
AL111994,1994,11/8/94,39.2,45.5,3
AL071950,1950,10/4/50,39.1,63.7,3
AL031853,1853,9/9/53,39,62.3,3
AL031991,1991,8/19/91,38.9,73,3
AL082017,2017,8/16/17,38.2,64.1,3
AL071886,1886,8/22/86,38.1,66,3
AL011927,1927,8/24/27,38,71.5,3
AL032000,2000,8/13/00,38,50.3,3
AL031917,1917,9/5/17,37.9,56.1,3
AL051992,1992,9/22/92,37.7,51.5,3
AL041949,1949,9/9/49,37.6,59.8,3
AL051993,1993,9/1/93,37.5,72.7,3
AL021883,1883,8/29/83,37.4,67.5,3
AL162011,2011,10/2/11,37.4,61.6,3
AL071944,1944,9/14/44,37.1,74.7,3
AL041962,1962,10/7/62,37.1,66.3,3
AL021896,1896,9/9/96,37,69.1,3
AL061966,1966,9/2/66,37,65.2,3
AL102003,2003,9/6/03,36.9,60.4,3
AL021922,1922,9/22/22,36.7,60,3
AL061952,1952,9/28/52,36.7,63,3
AL051899,1899,9/14/99,36.5,60.5,3
AL061948,1948,9/14/48,36.5,64,3
AL061950,1950,9/16/50,36.5,54.5,3
AL051996,1996,9/1/96,36.5,70.2,3
AL172017,2017,10/15/17,36.4,22.6,3
AL041958,1958,8/29/58,36.3,73.9,3
AL061992,1992,9/24/92,36.1,34.1,3
AL061903,1903,#NUM!,36,59.1,3
AL031943,1943,8/25/43,36,67.2,3
AL011950,1950,8/20/50,36,72.7,3
AL061937,1937,9/18/37,35.8,49.5,3
AL011930,1930,8/27/30,35.7,65,3
AL041943,1943,9/7/43,35.7,63.2,3
AL111916,1916,9/24/16,35.5,63.8,3
AL041932,1932,9/8/32,35.5,70.1,3
AL131999,1999,10/18/99,35.4,74.4,3
AL031899,1899,8/18/99,35.2,75.8,3
AL041940,1940,9/1/40,35.2,73.5,3
AL031956,1956,8/17/56,35.1,71.2,3
AL041893,1893,8/23/93,35,73.7,3
AL041905,1905,10/10/05,35,50,3
AL091959,1959,10/3/59,35,66.5,3
AL062001,2001,9/10/01,34.9,64.7,3
AL051918,1918,9/5/18,34.8,66.8,3
AL101947,1947,10/21/47,34.8,64,3
AL021879,1879,8/18/79,34.5,76.8,3
AL072016,2016,8/31/16,34.5,47.9,3
AL121933,1933,9/16/33,34.4,75.3,3
AL071976,1976,8/9/76,34.4,74.7,3
AL081990,1990,9/1/90,34.4,55.6,3
AL021998,1998,8/27/98,34.4,77.7,3
AL081880,1880,10/3/80,34.3,58.4,3
AL071953,1953,9/18/53,34.3,63.4,3
AL082012,2012,8/19/12,34.3,35,3
AL051923,1923,9/30/23,34.2,67,3
AL041942,1942,8/26/42,34.2,60.4,3
AL041957,1957,9/20/57,34.2,47.7,3
AL021961,1961,9/7/61,34.2,58.3,3
AL101950,1950,10/15/50,34.1,58.5,3
AL101984,1984,9/12/84,34,77.4,3
AL141954,1954,10/15/54,33.9,78.6,4
AL041961,1961,9/13/61,33.9,45.3,3
AL061996,1996,9/6/96,33.9,78,3
AL101926,1926,10/23/26,33.8,62.2,3
AL081955,1955,9/19/55,33.8,76.5,3
AL041999,1999,8/29/99,33.8,57.4,3
AL091899,1899,10/31/99,33.6,79,3
AL171933,1933,10/7/33,33.6,69.4,3
AL061933,1933,8/22/33,33.4,72.4,3
AL031921,1921,9/15/21,33.3,63.3,3
AL041927,1927,9/26/27,33.3,61.3,3
AL141971,1971,9/14/71,33.3,53.3,3
AL252005,2005,10/25/05,33.3,72,3
AL041926,1926,9/15/26,33.2,71.2,3
AL131936,1936,9/17/36,33.2,73.4,3
AL091893,1893,10/13/93,33,79.5,3
AL152016,2016,10/13/16,33,63.9,3
AL041916,1916,7/14/16,32.9,79.5,3
AL011949,1949,8/24/49,32.9,76.6,3
AL101878,1878,10/19/78,32.8,57.4,3
AL031950,1950,8/31/50,32.8,56.7,3
AL111989,1989,9/22/89,32.8,79.8,4
AL031915,1915,9/3/15,32.7,64.9,3
AL181981,1981,9/29/81,32.6,52.6,3
AL142005,2005,9/6/05,32.6,56.6,3
AL081959,1959,9/29/59,32.5,80.4,4
AL201969,1969,10/6/69,32.5,58.3,3
AL122004,2004,9/23/04,32.5,44.4,3
AL061894,1894,10/18/94,32.3,61.7,3
AL082014,2014,10/18/14,32.3,64.8,3
AL041953,1953,9/6/53,32.2,68.6,3
AL071963,1963,10/11/63,32.2,59.8,3
AL071997,1997,9/10/97,32.2,58.3,3
AL161981,1981,9/15/81,32.1,60.3,3
AL101989,1989,9/8/89,32.1,59.6,3
AL051962,1962,10/20/62,31.9,72.8,3
AL031854,1854,9/8/54,31.7,81.1,3
AL061893,1893,8/28/93,31.7,81.1,3
AL021926,1926,8/6/26,31.7,66,3
AL072010,2010,9/2/10,31.7,75.1,3
AL062014,2014,9/16/14,31.7,57.7,3
AL051935,1935,9/30/35,31.4,70.4,3
AL142017,2017,9/28/17,31.4,57.2,3
AL132000,2000,9/29/00,31.2,56.2,3
AL021900,1900,#NUM!,31.1,64.1,3
AL091943,1943,10/16/43,31,67.8,3
AL081996,1996,9/13/96,31,70.3,3
AL071898,1898,10/2/98,30.9,81.4,4
AL031893,1893,8/20/93,30.8,75,3
AL111979,1979,9/13/79,30.8,88.5,3
AL082006,2006,9/15/06,30.8,53.8,3
AL091969,1969,8/18/69,30.7,89.6,4
AL142016,2016,10/8/16,30.7,80.6,3
AL031948,1948,8/30/48,30.6,74.9,3
AL081999,1999,9/15/99,30.6,79.1,3
AL011860,1860,8/12/60,30.5,88.9,3
AL061951,1951,9/9/51,30.5,64.3,3
AL021882,1882,9/10/82,30.4,86.8,4
AL061906,1906,9/27/06,30.4,88.7,3
AL021916,1916,7/5/16,30.4,88.4,3
AL141916,1916,10/18/16,30.4,87.4,3
AL041917,1917,9/29/17,30.4,86.6,3
AL051985,1985,9/2/85,30.4,89.2,3
AL162003,2003,10/5/03,30.4,55.5,3
AL042005,2005,7/10/05,30.4,87.1,3
AL112015,2015,10/4/15,30.4,67.2,3
AL101893,1893,10/2/93,30.3,88.9,3
AL071926,1926,9/20/26,30.3,87.3,3
AL171995,1995,10/4/95,30.3,87.1,3
AL132012,2012,9/6/12,30.3,41,3
AL011852,1852,8/26/52,30.2,88.6,3
AL051855,1855,9/16/55,30.2,89.4,3
AL051894,1894,10/9/94,30.2,85.5,3
AL011920,1920,9/12/20,30.2,51.9,3
AL041950,1950,9/7/50,30.2,67.6,3
AL131975,1975,9/23/75,30.2,86.3,4
AL092004,2004,9/16/04,30.2,87.9,3
AL122005,2005,8/29/05,30.2,89.6,3
AL041851,1851,8/23/51,30.1,85.7,3
AL072001,2001,9/14/01,30.1,45.5,3
AL041877,1877,10/3/77,30,85.5,3
AL131916,1916,10/13/16,30,59.2,3
AL021955,1955,8/9/55,30,74.2,3
AL061964,1964,9/10/64,29.9,81.4,3
AL141981,1981,9/8/81,29.9,67.2,3
AL101886,1886,10/12/86,29.8,93.5,3
AL011918,1918,8/6/18,29.8,93.2,3
AL021957,1957,6/27/57,29.8,93.7,4
AL011856,1856,8/11/56,29.7,91.6,4
AL182005,2005,9/24/05,29.7,93.7,3
AL041896,1896,9/29/96,29.6,82.9,3
AL041947,1947,9/19/47,29.6,89.5,3
AL071951,1951,9/8/51,29.6,57.9,3
AL101964,1964,10/4/64,29.6,91.6,3
AL041992,1992,8/26/92,29.6,91.5,3
AL041879,1879,9/1/79,29.5,91.4,4
AL091909,1909,9/21/09,29.5,91.3,3
AL121967,1967,9/14/67,29.4,52.6,3
AL101974,1974,9/8/74,29.4,91.3,3
AL061866,1866,10/3/66,29.3,77.1,3
AL031926,1926,8/26/26,29.3,90.9,3
AL071998,1998,9/28/98,29.3,88.5,3
AL092008,2008,9/13/08,29.3,94.7,3
AL071888,1888,10/11/88,29.2,83.1,3
AL021915,1915,8/17/15,29.2,95.1,4
AL091999,1999,9/21/99,29.2,62.9,3
AL031888,1888,8/19/88,29.1,90.7,3
AL011900,1900,#NUM!,29.1,95.1,4
AL061908,1908,9/15/08,29.1,71.8,3
AL021932,1932,8/14/32,29.1,95.5,3
AL111949,1949,10/4/49,29.1,95.6,3
AL051950,1950,9/5/50,29.1,82.8,3
AL031983,1983,8/18/83,29.1,95.1,3
AL061915,1915,9/29/15,29,90.3,4
AL091964,1964,9/20/64,29,69.8,3
AL031965,1965,9/5/65,29,75.3,4
AL041909,1909,7/21/09,28.9,95.3,3
AL132003,2003,9/17/03,28.9,71.9,3
AL062010,2010,8/28/10,28.9,60.8,3
AL021941,1941,9/23/41,28.8,95.6,4
AL072008,2008,9/1/08,28.8,90.3,3
AL081908,1908,10/3/08,28.7,71.6,3
AL031924,1924,8/24/24,28.6,77.7,3
AL031961,1961,9/12/61,28.6,96.8,3
AL032009,2009,8/21/09,28.6,66.9,3
AL031935,1935,9/4/35,28.4,83.4,3
AL152017,2017,9/24/17,28.4,72.8,3
AL031942,1942,8/30/42,28.3,96.6,3
AL111976,1976,9/2/76,28.3,48.7,3
AL131985,1985,11/21/85,28.3,86.5,3
AL051945,1945,8/27/45,28.2,96.7,3
AL092017,2017,8/26/17,28.2,97.1,3
AL051886,1886,8/20/86,28.1,96.8,4
AL061921,1921,10/25/21,28.1,82.8,3
AL132002,2002,10/3/02,28.1,91.4,3
AL131934,1934,11/24/34,27.9,67.6,3
AL111964,1964,10/15/64,27.8,79,3
AL031875,1875,9/16/75,27.7,97.2,3
AL071964,1964,9/9/64,27.7,62.4,3
AL061991,1991,9/7/91,27.7,62.4,3
AL051856,1856,8/30/56,27.5,87.3,3
AL041970,1970,8/3/70,27.5,96.3,4
AL091953,1953,9/26/53,27.4,87.2,3
AL071995,1995,8/13/95,27.4,62.3,3
AL112004,2004,9/26/04,27.3,80.6,3
AL122011,2011,9/6/11,27.3,66.2,3
AL021919,1919,9/14/19,27.2,96.6,3
AL041928,1928,9/17/28,27.2,81.1,3
AL031871,1871,8/17/71,27.1,80.2,3
AL061960,1960,9/15/60,27.1,89.2,3
AL131995,1995,9/9/95,27.1,69.8,3
AL061916,1916,8/18/16,27,97.4,4
AL021929,1929,9/24/29,27,74.9,3
AL111933,1933,9/4/33,27,80.3,4
AL062004,2004,9/5/04,27,79.4,3
AL011926,1926,7/27/26,26.9,79.5,3
AL091985,1985,9/25/85,26.9,73,3
AL031999,1999,8/23/99,26.9,97.4,3
AL032004,2004,8/13/04,26.9,82.1,4
AL081906,1906,10/18/06,26.6,79.5,3
AL021949,1949,8/26/49,26.6,80,4
AL051873,1873,10/7/73,26.5,82.2,3
AL051910,1910,10/18/10,26.5,82,3
AL051960,1960,9/10/60,26.3,81.8,3
AL031910,1910,9/13/10,26.2,93.4,3
AL081933,1933,9/4/33,26.2,95.8,4
AL021880,1880,8/13/80,26.1,97.6,4
AL041980,1980,8/10/80,26.1,97.2,3
AL081948,1948,9/22/48,26,81.2,4
AL091945,1945,9/16/45,25.9,80.9,3
AL111950,1950,10/18/50,25.9,80.3,4
AL131967,1967,9/20/67,25.9,97.2,5
AL112017,2017,9/10/17,25.9,81.7,3
AL011966,1966,6/9/66,25.7,82.6,3
AL021933,1933,7/5/33,25.5,90.3,3
AL101995,1995,9/1/95,25.5,58.8,3
AL141932,1932,11/11/32,25.4,71.3,3
AL031958,1958,8/17/58,25.4,52.4,3
AL131944,1944,10/19/44,25.3,82.7,3
AL101924,1924,10/20/24,25.2,83,3
AL051977,1977,9/1/77,25.2,95.5,4
AL021884,1884,9/8/84,25.1,55,3
AL031890,1890,8/29/90,25,68,3
AL031954,1954,6/25/54,25,97.6,3
AL021895,1895,8/30/95,24.9,97.1,3
AL052005,2005,7/20/05,24.8,97.6,4
AL111909,1909,10/11/09,24.7,81,3
AL051941,1941,10/6/41,24.6,77.3,3
AL121996,1996,10/19/96,24.4,74,3
AL092006,2006,9/19/06,24.4,52.5,3
AL081988,1988,9/16/88,24.2,97.8,4
AL012010,2010,7/1/10,24.2,97.7,3
AL021963,1963,8/24/63,24.1,59.8,3
AL071975,1975,8/31/75,24.1,97.5,3
AL092011,2011,8/25/11,24.1,75.9,3
AL121970,1970,9/12/70,23.9,97.9,4
AL061909,1909,8/27/09,23.8,97.3,3
AL091966,1966,10/6/66,23.7,85,3
AL091948,1948,10/5/48,23.5,82.3,3
AL122017,2017,9/11/17,23.3,67.6,3
AL041888,1888,9/4/88,22.9,79.7,4
AL112010,2010,9/17/10,22.8,59.9,3
AL051876,1876,10/19/76,22.7,82.3,3
AL061870,1870,10/7/70,22.4,81.9,3
AL131933,1933,9/15/33,22.3,97.5,3
AL041951,1951,8/22/51,22.3,97.8,3
AL091955,1955,9/19/55,22.3,97.9,3
AL152001,2001,11/5/01,22.3,80.9,3
AL061882,1882,10/9/82,22.2,83.9,3
AL102002,2002,9/22/02,22.1,86.5,4
AL141933,1933,9/25/33,22,97.8,3
AL021947,1947,8/15/47,22,96.6,3
AL101952,1952,10/24/52,22,80.9,4
AL041898,1898,9/13/98,21.7,64,3
AL182012,2012,10/25/12,21.7,75.5,3
AL061886,1886,8/22/86,21.5,79,3
AL021996,1996,7/9/96,21.4,69.4,3
AL151995,1995,9/17/95,21.2,67.5,3
AL022008,2008,7/8/08,21.1,52.9,3
AL122010,2010,9/16/10,20.9,35.8,3
AL041922,1922,10/18/22,20.7,85.9,3
AL021903,1903,#NUM!,20.4,85.6,3
AL042004,2004,8/17/04,20.3,38.9,3
AL041938,1938,8/26/38,20.2,87,3
AL172008,2008,11/8/08,20.2,78.8,4
AL091958,1958,9/26/58,20,61.1,3
AL091988,1988,9/25/88,20,49.1,3
AL191995,1995,10/10/95,20,86.7,3
AL101955,1955,9/29/55,19.8,95.3,3
AL132010,2010,9/17/10,19.7,94.9,3
AL041871,1871,8/22/71,19.5,66.5,3
AL041924,1924,8/29/24,19.5,65.9,3
AL061889,1889,9/17/89,19.4,86.5,3
AL051964,1964,8/25/64,19.4,76.6,3
AL091979,1979,9/1/79,19.3,72,3
AL091867,1867,10/29/67,18.9,62,3
AL042007,2007,8/21/07,18.9,88.7,4
AL091961,1961,10/30/61,18.5,83.8,4
AL021930,1930,9/3/30,18.4,70,5
AL071912,1912,11/18/12,18.3,78.4,3
AL121987,1987,9/23/87,18.3,71,3
AL091932,1932,9/27/32,18.2,66.2,3
AL051958,1958,9/1/58,18.2,73.4,3
AL152008,2008,10/16/08,18.2,63.9,4
AL131955,1955,10/17/55,18.1,71.7,3
AL021876,1876,9/13/76,18,63.4,3
AL031883,1883,9/6/83,18,69.9,4
AL161999,1999,11/18/99,18,63.3,4
AL041944,1944,8/20/44,17.9,75.3,3
AL152000,2000,10/1/00,17.9,86.9,3
AL071916,1916,8/22/16,17.8,65.2,3
AL111942,1942,11/8/42,17.8,87,3
AL091996,1996,9/28/96,17.8,43.2,3
AL041894,1894,9/22/94,17.6,69.3,3
AL182011,2011,10/26/11,17.5,85,3
AL061931,1931,9/10/31,17.4,87.8,4
AL131998,1998,10/27/98,17.3,84.4,5
AL112001,2001,10/8/01,17.1,84,4
AL031891,1891,8/20/91,17,66.1,3
AL161978,1978,9/19/78,17,88.2,3
AL131969,1969,9/2/69,16.4,86.7,3
AL141974,1974,9/18/74,16.3,84.7,3
AL091995,1995,8/24/95,15.7,43.2,3
AL011961,1961,7/23/61,15.3,82.9,3
AL131971,1971,9/10/71,15.2,84.1,3
AL072009,2009,9/10/09,14.8,33.5,3
AL041941,1941,9/27/41,14.7,82.5,4
AL042015,2015,8/22/15,14.7,49.4,3
AL062007,2007,9/4/07,14.4,80.4,4
AL272005,2005,10/30/05,13.3,83.1,3
AL121980,1980,9/9/80,13,31.3,3
AL111988,1988,10/22/88,11.9,82.5,4
AL162016,2016,11/24/16,11,83,3